,protein,RYGB,SHAM
497,Psmd12,"[301340.20870602725 283002.0306300103 110301.81405286367
 156609.65525750065 155066.20652330935 113408.40500588791]","[65685.33946444171 103969.43691278342 107235.61011799499
 147200.66086425039 146362.2793234258 83030.0836267669]"
498,Rps28,"[205.36 110753.5828967764 718177.9632246712 771327.0127156145
 642153.4236789014 663734.8092798984]","[691492.8758294026 612975.6141233245 205.36 205.36 816092.1026321087
 627613.0801750083]"
499,Cast,"[205.36 35889.06651440436 71266.09199430887 23082.023489565523
 42821.02812065378 47687.716826393465]",[52880.320791259386 205.36 205.36 22508.727757913442 205.36 205.36]
500,0,"[205.36 314541.09060001775 188905.13555606914 116434.19500045855
 177677.3324486554 134529.3881005598]","[142600.17851457314 139102.90073691274 205.36 170935.94020945026
 107953.78696279388 137811.69240947915]"
501,Eif4h,"[205.36 153086.4952851381 119116.70198518538 206345.01935978167
 68202.34754147606 206944.1629732623]","[75510.46375989783 281210.31845357316 88561.15019814706 196323.06274312083
 80534.29577666795 204492.41686719083]"
502,Cyp2d26,"[6228951.608697995 3386421.221488295 4034856.3558785426 3424727.007131242
 2569886.2588077793 3937118.8942516847]","[4435903.29070632 3120368.4149037898 5455739.389373365 6305292.897018564
 3419575.2994663594 4018102.510203368]"
503,Serpinc1,"[289556.4112964768 181113.45205011038 46839.024485483416 81131.74879417494
 48931.20365354489 95929.62809635037]","[104562.6989580294 55264.888202558155 152247.91923457876
 155478.04418037657 70845.02264995767 70745.68242979927]"
504,Acy1a,"[205.36 506676.4546419454 750459.9909244868 590440.8536369159
 645391.5355364399 639726.4535431534]","[781334.2281270131 688507.6197644165 588485.3927135355 686753.9738421551
 651738.9926880327 657029.8735955419]"
505,Acad11,"[537704.2831596058 477995.1100903921 120854.4621123457 510368.61883133044
 437471.31671182625 523154.5253597166]","[249582.39490611627 327599.9585903886 508987.3847321204 436926.3203496006
 470079.9915121242 627432.1666581825]"
506,Mcee,"[125568.31131241139 60710.83238008077 74738.26365467727 51084.81614615507
 62047.594107709025 54966.91740148443]","[84698.37660780583 77342.0086541138 108585.55644011841 68486.34363230102
 77529.66217038261 49099.62908164873]"
507,Mettl7b,"[900411.0995379355 855025.9724331978 585864.47729775 429710.77752155834
 451146.6548917942 730449.6949985225]","[672655.2917568965 339449.0312560172 1208845.2451604267 1376977.9493008198
 544517.0867366449 742248.2417456413]"
508,Adi1,"[102509.90217513315 89806.39785268884 205.36 67219.90219080994
 87171.60586821054 80803.65456579516]","[205.36 51285.718732437446 107548.4635579572 124121.44741596679
 103913.12646633503 205.36]"
509,Upb1,"[2710049.8415192263 2502390.8221612554 1993606.301500334
 2215127.8028828786 2147327.5892527034 2660624.2769006896]","[2327632.8280915776 2904663.0116783986 2817043.2191671426
 2849511.514313914 2585220.87072694 2408856.5161534105]"
510,Tgm2,"[827455.9488758332 939648.9807592956 1024469.2200200917 657967.7595904269
 905833.2436180395 1327487.9493134979]","[483418.52508918627 800630.0891096389 791920.0235959594 875706.5773696661
 759312.8462961391 690108.9105523244]"
511,Hspe1,"[4242820.373073515 4113609.537626103 3103278.0876006694 4100048.946732678
 4357855.809505224 3401333.650131675]","[3122700.119570996 4016787.457485312 4591656.423373289 3893069.0062226984
 3290696.897348803 2956189.490638704]"
512,Auh,"[226977.94763564924 186773.1139954581 264988.43592260714
 272696.60962503095 334439.86134108884 295017.2941336345]","[220223.6732429572 236565.27183065776 189857.8932805566 221095.79970703783
 295924.86407693935 228905.7137015446]"
513,Ccbl2,"[4882078.809800873 3337256.961674037 3290603.7221122463 2513916.4552860567
 2895417.208121049 2992564.1043906207]","[2998005.528202056 2713161.099661557 4107891.9473601994 3562969.57571353
 2609569.6323259044 2812757.011863139]"
514,Gda,"[808834.1329282225 871983.4730009892 899871.6543276563 860474.2792363329
 941986.9801492146 1068091.3527698037]","[910690.7939660931 848766.1763960883 697093.8375381473 728435.7545375393
 796248.6295551923 842265.0453907662]"
515,Acaca,"[261715.6863423499 196271.425982189 71842.07306575653 225612.4328502157
 211552.7879403573 75036.8654157915]","[143289.82081689438 134068.49366777763 220708.4488310466
 195843.78460170492 107569.1322369991 136344.0345059572]"
516,Pdcd6ip,"[107674.16454062065 105961.48973125256 205.36 75522.54024783058
 31522.772510887928 73992.64730134136]","[72003.07443206923 83653.99197229238 123336.84731050741 62306.355466050154
 74055.07588960545 83489.33579289886]"
517,Psma2,"[292642.9159586167 293817.61045127077 148845.7733593853 168146.55793496696
 104638.07797927635 160018.13274083566]","[178425.20957503226 140579.13683461733 381534.0558336692
 261609.43794187615 244056.37884997952 115232.84507024992]"
518,F11r,"[59296.629380094615 50452.776415235356 42574.14911858156 41069.17278357794
 39743.20066191587 33455.46063557606]","[205.36 35168.14809283269 49218.38374002166 59890.14528096585
 44896.61842933553 32592.396083106854]"
519,Dpys,"[6515091.182090855 4482637.759090864 2963660.043286244 2586979.834326388
 2344490.605288087 3201479.6765845832]","[4350472.972086332 2945547.1279331166 6965466.602672349 4659079.256543915
 2984863.7671791497 3182318.469761878]"
520,Msra,"[348502.9320300498 278200.84194248554 273953.6776613433 215289.68783809643
 253842.76990017534 289781.5541271859]","[231000.11819805103 259283.88255963908 319116.9841011935
 311419.13527483155 321525.12356998987 257315.38746050443]"
521,Dbt,"[765796.2506548943 642284.2380554008 384730.47520902165 363847.0607807067
 425673.9311361259 344064.10730977065]","[479997.17790344683 345284.6127587801 637945.4326051621 570215.4439890423
 305139.20979338983 352401.1444244086]"
522,Acox1,"[2058250.7493027586 1959248.1984358989 1083991.0633807082
 1704466.8447023968 1571281.0362039043 1177805.9830320654]","[1325307.5192124208 1259640.2636020866 1801262.7282156192
 1908558.0069182906 1392895.0219637188 1326986.569840201]"
523,Gldc,[74960.07097685747 49710.23800192157 205.36 205.36 205.36 205.36],"[205.36 205.36 43196.12782282724 45021.28943872025 205.36
 61305.23121584226]"
524,Fmo5,"[1663989.5866320473 1534735.4768329852 1293140.2210649215
 1389207.8191282854 1516484.7323095228 1555671.0341445878]","[1419680.7835648987 1188399.6106653519 1552144.9128605225
 1544882.3043598505 999857.5013616437 985121.4233664032]"
525,Rps3,"[563488.6871146901 954788.3125417411 1390943.6918148624 1750960.426065774
 1466542.3337477061 1784415.1420086871]","[1288945.3131740964 1374365.9484761823 557082.0422530238
 476562.37496449164 1425579.2984352913 1409119.3101710884]"
526,Pitpna,[205.36 56305.20831074066 205.36 205.36 205.36 205.36],[205.36 205.36 205.36 80342.29096425512 205.36 205.36]
527,Rpl39,"[205.36 205.36 205.36 100287.45414794642 115475.23203273148
 85210.03487964209]","[71240.143383191 80100.78377410554 205.36 19858.073571818528
 77377.62386922703 83865.35453229336]"
528,Serpina3k,"[1063743.3214520847 653427.2792313647 776190.3491853505 578846.3995414376
 642261.8031127108 649008.0627699624]","[493241.72404527606 440266.96853532776 747450.6258279704 632193.821663687
 855890.3060920611 613603.6600789792]"
529,Fermt2,"[183205.96938455428 68144.29106912973 205.36 136914.4819507857 205.36
 56223.358866719165]","[205.36 107823.2372266483 68076.63886671775 197109.04039542368 205.36
 71066.07664637314]"
530,Idh3a,"[205.36 15597.822386456235 25206.30126276826 13174.772280422168 205.36
 205.36]","[22295.600529404936 13346.226081336634 205.36 1532.2298435731861
 2317.3247821805253 205.36]"
531,Tmem33,"[314706.0684697338 270946.91527405917 174055.6753375324 201899.70927233738
 216765.94831902947 143467.82965910537]","[209587.04616402418 159747.40286915193 320925.50430593773
 290993.3152853768 195422.45383964304 265904.4048305981]"
532,Fasn,"[2616531.636873255 2841806.2450230257 2049690.4190363332 2739738.540765198
 5316151.937426697 941956.2834107528]","[2678200.9626989076 2466856.987319623 1467700.902722887 3102102.9488600055
 2068030.2734665964 2021684.262903748]"
533,Ssr4,"[42299.37314132247 7843.988866403766 230612.62372665142 281818.5676958054
 239399.81965138426 300145.90619853995]","[219145.3021181884 171095.30555004024 65181.311512531895 205.36
 108985.38678843387 249735.97676476566]"
534,Kpna6,"[89594.4387466019 67742.16863262784 45345.77784666991 65776.93079921196
 65030.7671480575 59378.312353898094]","[62331.429478422455 63438.22398874595 103012.30605877515 70321.41394183131
 65532.26519965786 63027.593426188374]"
535,Apeh,"[108643.21905048635 161756.02794104634 84491.73602619237 79836.44352046851
 205.36 97793.92816122824]","[122464.12270127279 57776.85725872469 205.36 162056.15531015382
 21262.822940568025 113184.84630493398]"
536,Eci3,"[241411.80943345008 139107.973525836 40308.95899443268 175898.25733753844
 83654.08359553418 185178.136821851]","[49605.400380195264 162510.66860105898 183866.05913058424
 225589.5918050818 137939.46414515123 161398.955048413]"
537,U2af2,"[205.36 43338.52278166199 26957.707319537913 24392.62723040115
 26988.71464789546 29563.124933502546]","[11369.7135608362 28013.484966078224 53984.09648542137 205.36
 28556.131905348404 205.36]"
538,Phb,"[4766284.904020241 4273260.1708653895 4102289.9379024487 4477747.836771234
 4501908.833411063 4957285.889060071]","[3895354.5171677377 4139353.3477424597 5570034.558551914 3825343.537181502
 4124921.828421729 3801092.132197491]"
539,Psmd1,"[252572.10720163776 222171.02070610673 63204.74893135913
 157189.38541880716 192981.23435359026 140929.91406384044]","[144809.77897542124 152241.2346415331 269777.69275960606
 222258.94912579088 190521.19156407245 134370.0423982865]"
540,Fdps,"[448492.04337563494 373367.06709237746 276936.0734904089 631648.3134465525
 536337.3825502109 468639.3090981353]","[366635.1623581772 276037.5591679515 436809.151470117 180964.5532658122
 435757.46181181713 394457.53716471075]"
541,Slc25a20,"[168300.85840025646 375230.0352485178 877945.50366166 1061806.8980091196
 788274.6570550934 999180.4327478171]","[567859.3707605344 900417.3709107464 165125.76110338728 225216.02075621998
 626502.6676384396 799158.6612232755]"
542,Apoa1bp,"[128873.70852688594 108337.47315926745 140747.13200966228
 105128.5433914347 90943.02163154908 109209.51309909104]","[107100.83445411861 80580.53594214733 125357.07269930077
 111818.91347019981 103232.43405328668 89797.95271855856]"
543,Rab10,"[272961.1681933183 200868.2303066184 103576.21616921751 135334.16819491246
 141123.06895614078 147615.29182801663]","[108280.99917576174 120616.61316283145 267838.82713669736
 187791.12984447184 110835.33031822639 98532.41856620688]"
544,Cyp2c6,"[1213301.4582525282 951222.285930678 1150793.833595707 981723.7485963033
 1071413.6710734763 1114277.9407770098]","[912783.8632744756 816067.7963421762 876262.3239038943 1256077.4301173463
 633494.597488408 833740.8578743867]"
545,Cyp2a1,"[749202.3462602745 402031.0155935806 152004.64511956385 325730.78793617326
 351463.1960661116 281444.39411592466]","[374760.6810191272 291812.11707023287 813626.3427003064 707404.9765893343
 266516.03876675805 338721.39080797194]"
546,Slc27a2,"[3987913.417094512 3643463.4613234014 3547952.7186242566 4073980.582833564
 3350930.0606298945 3751382.869671459]","[3626281.063740065 2357645.566602801 3410999.3632795997 3121593.065361793
 3161565.9773621173 3724707.112475276]"
547,Sars,"[147315.23538774354 136541.50555182528 86744.99867287223
 123759.82399464786 132663.76257648642 132645.6485574289]","[104399.86093888526 100717.97116320263 157009.79590933182
 120518.59242050568 117278.46148849398 80641.59668265498]"
548,Cul2,"[138729.42589409888 107738.59161157937 83617.12077402712 80271.41114507079
 205.36 78942.62440120586]","[86912.30829372506 70770.93974624774 141203.0960837092 106019.69822254281
 76290.83417317813 90228.75826144505]"
549,Ccbl1,[205.36 125275.38634700015 118201.26568951854 205.36 205.36 205.36],[130908.67114579532 205.36 205.36 74156.60530118055 205.36 205.36]
550,Slc25a12,"[821490.6511636248 685101.2109791957 489839.34688922233 477743.39678343985
 437530.27555746597 496419.8311232607]","[723677.7410187239 434845.2428136328 940926.1325340149 543051.3456818179
 496511.9940206559 380896.8866724618]"
551,Tgfbi,"[37496.50115821283 205.36 99102.33713350938 52828.23361203753
 42137.55783509023 63368.22398053496]","[93642.39609606315 71725.95571895217 86834.63655501988 28682.09423384609
 66865.64338472244 56892.935714549654]"
552,Nit2,"[7713626.215805277 5602548.865962688 5282914.371853977 4378179.5892603
 4587408.304301663 5082066.916611372]","[5293927.801059612 5090130.967671756 7073720.466785486 6499520.120491157
 5412521.343886273 5017157.337287108]"
553,Itpa,"[81597.57241253667 61976.19241081442 44161.773701854196 57596.22864766929
 64793.8167176021 66256.6691146001]","[36822.5677303802 57020.87757489009 88663.56238823576 66172.45726294782
 62932.347394046556 40527.30744495744]"
554,Uba1,"[521818.5314152604 725039.6651716861 664042.8808056404 646884.9134717946
 410867.5554077082 917115.8247660014]","[593135.499899181 893371.068155783 975343.533330706 777883.8964852268
 780485.0628915285 829521.1882472839]"
555,Amacr,"[448935.8754198338 492986.25585076644 1300705.8667869584 851798.5452298819
 1140460.702861019 1908718.986527273]","[642301.7330923011 638602.2605233657 343827.8666985713 424008.64258023014
 769249.2292780357 1033019.3657291199]"
556,Xylb,"[1014231.2975629367 602796.6340788947 673485.909659743 495098.0062968944
 252203.058427408 611630.3637830411]","[742486.384915027 659748.7594793019 887155.936895663 694214.0458592551
 626313.6045492674 520585.71916727826]"
557,Htra2,"[108331.090787243 135375.0990002694 251522.25819366254 119443.85354932198
 80321.35813001796 174880.74506428925]","[169737.3307002281 59518.79889108797 137838.24110417627 222210.42364953825
 55533.12833689364 63499.71663923701]"
558,Pdxk,"[1795.565440161861 175748.87308632708 43862.3370917469 121513.09117008268
 97499.69558666258 92516.02071926775]","[144394.63799788436 83005.2533548195 1706.7657544260476 82389.14305142945
 78315.46064422633 74430.67724609471]"
559,RGD1311345,"[195273.58537782883 119672.9206850773 88026.98195119854 89088.68586533435
 111730.04984743401 99708.76576032703]","[131570.96045165806 82623.24964093193 205.36 146209.8728087189
 87686.8718439918 106722.84715143703]"
560,Uroc1,"[6468828.9843425 4981384.470515806 4755466.304792539 3723214.586288919
 3887643.0677316505 3781029.455624302]","[4899547.832550765 4977539.840335647 4692190.83624278 7017885.95734294
 5033243.99673765 5425791.364937151]"
561,Rps18,"[259702.71573806927 500115.3190764083 591688.6038811966 793207.7355898648
 641419.7358607334 728079.9142566096]","[512033.7661340023 550984.1877682025 265827.9050389089 219395.29084025486
 498846.384620304 631818.0499494846]"
562,Mt-co2,"[3522896.9948130506 2592469.3645797167 2560049.5871608984
 2324540.886406896 2471042.492130157 3098545.5607127175]","[2197190.09490675 1703580.2995108156 4005575.528328274 3099800.4411874358
 1984316.624838702 2038954.1418635598]"
563,Atp6v0d1,"[80865.34704320571 56350.501870104046 50457.24396766261 205.36 205.36
 205.36]","[205.36 205.36 62907.53491182354 63824.886260937434 205.36
 14195.829985732013]"
564,Hnrnpul2,"[205.36 205.36 76963.54929144778 92576.94659359178 205.36
 105312.30237372883]","[60071.31271341835 64809.35267988761 205.36 205.36 60918.721133615596
 62130.2991178308]"
565,Ptms,"[348354.3914965915 311192.18712879677 245933.6607545737 372267.4891603721
 293298.8218245854 310538.5814207757]","[248759.21426966513 440799.4660030668 323182.9909037212 256014.6969272895
 280136.02676441986 261466.60367234453]"
566,Lonp2,"[205.36 67302.39046857377 21535.822382449103 205.36 37617.403561520594
 205.36]","[20904.317352275426 23213.229296091384 82098.19594673735 66588.75572930154
 205.36 205.36]"
