,protein,RYGB,SHAM
95,Aadat,"[1535302.227894735 1520706.3977867255 1980846.9157002636
 1704994.3806553457 2077715.7494594418 1718803.1650005016]","[1000105.2070836854 1470357.6985729472 941948.6928279309
 1594377.8003366995 1356280.2422002372 1460342.6480599612]"
96,Actn4,"[1210125.6331022934 1257994.6352792894 1373600.1332296247
 1408560.1209026356 1330360.5111709805 1461880.8862617565]","[1282215.7906547685 1094792.9545332156 859483.8379664932
 1251118.0527876632 1283405.2838570161 1026829.443475786]"
97,Ndufa6,"[205.36 58666.35823155079 205.36 32971.29841731695 48043.19942441675
 45656.74346533608]",[205.36 205.36 205.36 13378.782305238743 205.36 205.36]
98,Baat,"[5760196.7607680755 5460503.592581869 5095145.841958493 5823610.973038689
 5430521.087011299 7488128.737465644]","[7031012.00995984 6354750.34003883 7074411.8477819795 5929088.705941522
 7905557.543041691 7434407.781086212]"
99,LOC100362366,"[490408.0808850495 349659.6200950076 592220.7892059752 550704.5560125929
 563569.3597799513 543570.8406447535]","[383278.3218251548 393953.34695960715 478764.022347305 412108.95360908186
 30923.38512938413 396783.0451096104]"
100,Slc37a4,"[75680.58294705018 42349.98402901326 111995.43309712548 139473.4265685504
 47156.82744882093 111781.71180268728]","[131688.52757735018 133219.98954205707 119677.51151327751
 113850.49451754862 112671.14909675038 150566.66985006895]"
101,Cpox,"[407203.0165220941 320716.3786130935 262110.83833874643 329658.4605561071
 263878.61492969387 327718.48488614307]","[215562.4139596655 200408.90156723387 171585.88973565324 299980.0365176466
 258878.87241802196 309721.2259623202]"
102,Uqcrc2,"[1118407.6348455073 1377358.9902719525 1537246.9000519176
 1531749.799162994 1697704.6840191034 1367652.1202376129]","[1268139.5372244057 1400656.8846782404 1212534.581315502
 1024054.3749550184 1156335.424420014 1115544.561335324]"
103,Serpina1,"[1107513.1926111078 1077961.984052889 1010032.8371435057
 1289959.2364192815 958061.1479718435 1311258.9064320864]","[797100.6028548206 965377.0844032429 1024401.6954467954 620705.1642024491
 975586.4437247411 1042190.8666105027]"
104,Cyp1a2,"[490814.72593729786 178268.6726205811 352244.40808786417 532910.2193735244
 420354.99704422045 419544.81582694064]","[242800.42393154764 161583.31497102024 214659.74488061006
 186498.73665697285 205.36 282563.0611123074]"
105,Krt8,"[13326711.982663495 14253451.598467592 12987081.692057224 11093508.6582483
 11813378.0532139 12577053.695799405]","[11310090.555422997 10131525.936100654 12860638.911853496
 11984036.52203534 10847641.895410689 8857071.947593838]"
106,Iyd,"[195574.53237960176 165758.54751412928 129495.64361680855
 149467.22727940144 120357.92030280062 146664.53225819409]","[158699.93375218046 96968.55520357218 205.36 3804.1407255687013
 96067.8799820625 122353.2018262651]"
107,Acot13,[205.36 205.36 205.36 57646.80394033414 205.36 28214.789781659718],"[63347.62027516841 59054.71382880658 205.36 152601.8931312589
 52725.2523333493 59828.24963610626]"
108,Spr,"[194562.14742994736 254499.74795022194 236668.10063961768
 240961.58041765707 181847.42229528324 189737.2833052941]","[305871.5008283147 210115.75984465907 377483.6773360403 263243.2251211187
 229185.6068180383 291255.5370192094]"
109,Hsd17b10,"[12592732.057535414 14302610.632135585 13714199.632789813
 11657166.04951165 12607637.52917913 11792551.658802433]","[11830938.819712166 11366478.076671468 11950931.023038391
 9634601.306356784 11077718.530810738 11978611.229363976]"
110,Ywhab,[58953.85071802423 38420.723709355916 205.36 205.36 205.36 205.36],"[93711.37341436392 45934.092123098846 150553.25486745962 94592.92364174958
 93237.29464216277 205.36]"
111,Gss,"[918242.2619796279 811352.5809013263 679498.5135557275 1014143.2496510338
 904981.6723162519 657282.7717181909]","[553603.5203394408 724591.573098223 675605.9113324374 593684.3693812719
 790425.1014797146 603822.6865129316]"
112,Gys2,"[23457.105391265508 26404.57521807118 59049.729435380985 113672.5176234384
 72874.2605186027 86781.91236208532]","[205.36 22787.545522484394 205.36 31848.761229064225 15936.469364076042
 205.36]"
113,Ndufc2,"[205.36 84891.66276737885 205.36 205.36 82917.03936086617
 93202.43310139835]","[86446.72881126031 150758.27105721086 134024.81613592285 74554.41869096158
 53697.41572030938 167729.48972533437]"
114,Adhfe1,"[788008.0857396921 743181.4607198231 1098762.2967563346 1130646.0919470568
 1161843.9452008137 895605.1291932949]","[883699.823541219 750391.8639495218 705507.2711359855 638688.4262905113
 619434.7944331887 778806.8973738343]"
115,Aldh3a2,"[5152562.76719299 4056247.913981352 4739929.629759657 4940082.154623651
 4071885.6989180483 4729875.908645469]","[5075857.580139435 4760194.59229881 5135467.431283528 5274270.950756338
 5595138.490831904 5495786.8169784]"
