Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:100861540	reaction	True	arrow	False	blue	C16677
hsa:5599	indirect effect	True	arrow	True	black	hsa:3725
hsa:6359	activation	True	arrow	False	black	hsa:1232
C01209	reaction	True	arrow	False	blue	hsa:27349
hsa:6714	indirect effect	True	arrow	True	black	hsa:998
hsa:3725	expression	True	arrow	False	black	hsa:2919
hsa:3725	expression	True	arrow	False	black	hsa:3592
C00091	reaction	True	arrow	False	blue	hsa:1743
hsa:154796	binding/association	False	NA	False	black	hsa:10413
hsa:4353	reaction	True	arrow	False	blue	C21754
C00408	reaction	True	arrow	False	blue	hsa:51268
hsa:7157	expression	True	arrow	False	black	hsa:575
hsa:7099	activation	True	arrow	False	black	hsa:4615
C00079	reaction	True	arrow	False	blue	hsa:5053
hsa:6093	activation	True	arrow	False	black	hsa:2549
C05578	reaction	True	arrow	False	blue	hsa:7299
G00003	reaction	True	arrow	False	blue	hsa:85365
hsa:6722	binding/association	False	NA	False	black	hsa:2005
hsa:26084	activation	True	arrow	False	black	hsa:391
hsa:101060521	reaction	True	arrow	False	blue	C00046
hsa:1958	repression	True	circle	False	black	hsa:5741
hsa:340061	activation	True	arrow	False	black	hsa:29110
C05381	reaction	True	arrow	False	blue	hsa:4967
hsa:23411	inhibition	True	circle	False	black	hsa:5468
C00195	reaction	True	arrow	False	blue	hsa:2629
C00526	reaction	True	arrow	False	blue	hsa:1890
hsa:6383	activation	True	arrow	False	black	hsa:7430
G00081	reaction	True	arrow	False	blue	hsa:10690
hsa:4087	activation	True	arrow	False	black	hsa:4089
hsa:2309	expression	True	arrow	False	black	hsa:10018
hsa:2737	expression	True	arrow	False	black	hsa:64399
hsa:406904	inhibition	True	circle	False	black	hsa:9759
C05444	reaction	True	arrow	False	blue	hsa:1593
G00050	reaction	True	arrow	False	blue	hsa:2525
C01194	reaction	True	arrow	False	blue	hsa:10423
hsa:10681	activation	True	arrow	False	black	hsa:146850
hsa:114769	inhibition	True	circle	False	black	hsa:834
C14787	reaction	True	arrow	False	blue	hsa:2052
hsa:253430	reaction	True	arrow	False	blue	C01284
hsa:8792	activation	True	arrow	False	black	hsa:7186
C15976	reaction	True	arrow	False	blue	hsa:593
hsa:8705	reaction	True	arrow	False	blue	G00110
hsa:6778	expression	True	arrow	False	black	hsa:3559
hsa:1132	activation	True	arrow	False	black	hsa:10681
C00184	reaction	True	arrow	False	blue	hsa:26007
hsa:5048	reaction	True	arrow	False	blue	C04317
C20859	reaction	True	arrow	False	blue	hsa:9514
hsa:223	reaction	True	arrow	False	blue	C01181
G13042	reaction	True	arrow	False	blue	hsa:3425
hsa:3973	activation	True	arrow	False	black	hsa:2778
C00144	reaction	True	arrow	False	blue	hsa:124583
hsa:10948	binding/association	False	NA	False	black	hsa:9217
hsa:4967	reaction	True	arrow	False	blue	C00527
hsa:10161	activation	True	arrow	False	black	hsa:2768
hsa:3030	reaction	True	arrow	False	blue	C05269
hsa:53947	reaction	True	arrow	False	blue	G11492
hsa:598	inhibition	True	circle	False	black	hsa:578
hsa:84152	inhibition	True	circle	False	black	hsa:5566
hsa:210	reaction	True	arrow	False	blue	C00931
C04635	reaction	True	arrow	False	blue	hsa:284161
C00345	reaction	True	arrow	False	blue	hsa:9563
hsa:55821	reaction	True	arrow	False	blue	C00603
hsa:4790	expression	True	arrow	False	black	hsa:177
hsa:158835	reaction	True	arrow	False	blue	C03455
hsa:36	reaction	True	arrow	False	blue	C03460
hsa:3791	activation	True	arrow	False	black	hsa:25759
hsa:283208	reaction	True	arrow	False	blue	C00148
hsa:4790	expression	True	arrow	False	black	hsa:7412
hsa:2218	reaction	True	arrow	False	blue	G13093
hsa:1841	reaction	True	arrow	False	blue	C00365
hsa:26229	reaction	True	arrow	False	blue	G00156
hsa:3570	activation	True	arrow	False	black	hsa:2549
G00011	reaction	True	arrow	False	blue	hsa:10905
hsa:54947	reaction	True	arrow	False	blue	C05212
